title,rid,cdbonus
Forbidden Dreams,74,N
Fear Of God,74,N
The Riddle (Instrumental),74,N
The Monolith,74,N
To Travel Within,75,N
The Passage,75,N
A Passanger On Psyhco's Path,75,N
I Am,75,N
Misery Song,75,N
Just Another Morbid Tune,75,N
My Secret Garden,75,N
Crown Of Thorns,75,N
Heathendom,75,N
Atom Smasher,76,N
Black Machine,76,N
Master Of The Pit,76,N
King Of The Dead,76,N
Death Of The Sun,76,N
Finger Of Scorn,76,N
Toccata In Dm,76,N
Cirith Ungol,76,N
Last Laugh,76,Y
Blood & Iron,77,N
Chaos Descends,77,N
The Fire,77,N
Nodsokor,77,N
100mph,77,N
War Eternal,77,N
Doomed Planet,77,N
One Foot In Hell,77,N
Invaders,1,N
Children Of The Damned,1,N
The Prisoner,1,N
22 Acacia Avenue,1,N
The Number Of The Beast,1,N
Run To The Hills,1,N
Gangland,1,N
Hallowed Be Thy Name,1,N
Where Eagles Dare,2,N
Revelations,2,N
Flight Of Icarus,2,N
Die With Your Boots On,2,N
The Trooper,2,N
Still Life,2,N
Quest For Fire,2,N
Sun And Steel,2,N
To Tame A Land,2,N
Aces High,3,N
2 Minutes To Midnight,3,N
Losfer Words (Big 'Orra),3,N
Flash Of The Blade,3,N
The Duellists,3,N
Back In The Village,3,N
Powerslave,3,N
Rime Of The Ancient Mariner,3,N
Caught Somewhere In Time,4,N
Wasted Years,4,N
Sea Of Madness,4,N
Heaven Can Wait,4,N
The Loneliness Of The Long Distance Runner,4,N
Stranger In A Strange Land,4,N
Deja-Vu,4,N
Alexander The Great,4,N
Moonchild,5,N
Infinite Dreams,5,N
Can I Play With Madness,5,N
The Evil That Men Do,5,N
Seventh Son Of A Seventh Son,5,N
The Prophecy,5,N
The Clairvoyant,5,N
Only The Good Die Young,5,N
Be Quick Or Be Dead,6,N
From Here To Eternity,6,N
Afraid To Shoot Strangers,6,N
Fear Is The Key,6,N
Childhood's End,6,N
Wasting Love,6,N
The Fugitive,6,N
Chains Of Misery,6,N
The Apparition,6,N
Judas Be My Guide,6,N
Weekend Warrior,6,N
Fear Of The Dark,6,N
The Wicker Man,7,N
Ghost Of The Navigator,7,N
Brave New World,7,N
Blood Brothers,7,N
The Mercenary,7,N
Dream Of Mirrors,7,N
The Fallen Angel,7,N
The Nomad,7,N
Out Of The Silent Planet,7,N
The Thin Line Between Love & Hate,7,N
Cyclops,8,N
Hell No,8,N
Gods Of War,8,N
1000 Points Of Light,8,N
Laughing In The Hiding Bush,8,N
Change Of Heart,8,N
Shoot All The Clowns,8,N
Fire,8,N
Sacred Cowboys,8,N
Tears Of The Dragon,8,N
Shoot All The Clowns --- Remix,9,N
Tibet,9,N
Tears Of The Dragon --- Remix,9,N
Freak,10,N
Arrival,10,N
Starchildren,10,N
Taking The Queen,10,N
Darkside Of Aquarius,10,N
Road To Hell,10,N
Man Of Sorrows,10,N
Accident Of Birth,10,N
The Magician,10,N
Welcome To The Pit,10,N
Omega,10,N
Arc Of Space,10,N
King In Crimson,11,N
Chemical Wedding,11,N
The Tower,11,N
Killing Floor,11,N
Book Of Thel,11,N
Gates Of Urizen,11,N
Jerusalem,11,N
Trumpets Of Jericho,11,N
Machine Men,11,N
The Alchemist,11,N
Power Of The Night,12,N
Unusual,12,N
Warriors,12,N
Washed Out,12,N
Fountain Of Youth,12,N
Skull Session,12,N
Stuck On You,12,N
In The Dream,12,N
24 Hours Ago,13,N
Beyond The Doors Of The Dark,13,N
Legions,13,N
Strange Wings,13,N
Prelude To Madness,13,N
Hall Of The Mountain King,13,N
The Price You Pay,13,N
White Witch,13,N
Last Dawn,13,N
Devastation,13,N
Of Rage And War,14,N
Gutter Ballet,14,N
Temptation Revelation,14,N
When The Crowds Are Gone,14,N
Silk And Steel,14,N
She's In Love,14,N
Hounds,14,N
The Unholy,14,N
Mentally Yours,14,N
Summer's Rain,14,N
Thorazine Shuffle,14,Y
Streets,15,N
Jesus Saves,15,N
Tonight He Grins Again,15,N
Strange Reality,15,N
A Little Too Far,15,N
You're Alive,15,N
Sammy And Tex,15,N
St Patrick's,15,Y
Can You Hear Me Now,15,N
Ghost In The Ruins,15,N
If I Go Away,15,Y
Somewhere In Time,15,N
Believe,15,N
Edge Of Thorns,16,N
He Carves His Stone,16,N
Lights Out,16,N
Skraggy's Tomb,16,N
Labyrinths,16,N
Follow Me,16,N
Exit Music,16,N
Degrees Of Sanity,16,N
Conversation Piece,16,N
All That I Bleed,16,N
Damien,16,N
Miles Away,16,N
Sleep,16,N
Taunting Cobras,17,N
Handful Of Rain,17,N
Chance,17,N
Stare Into The Sun,17,N
Castles Burning,17,N
Visions,17,N
Watching You Fall,17,N
Nothing's Going On,17,N
Symmetry,17,N
Alone You Breathe,17,N
Overture,18,N
Sarajevo,18,N
This Is The Time (1990),18,N
I Am,18,N
Starlight,18,N
Doesn't Matter Anyway,18,N
This Isn't What We Meant,18,N
Memory,18,N
Dead Winter Dead,18,N
One Child,18,N
Christmas Eve (Sarajevo 12/24),18,N
Not What You See,18,N
The Ocean,19,N
Welcome,19,N
Turns To Me,19,N
Morning Sun,19,N
Another Way,19,N
Blackjack Guillotine,19,N
Paragons Of Innocence,19,N
Complaint In The System,19,N
Underture,19,N
The Wake Of Magellan,19,N
Anymore,19,N
The Storm,19,N
The Hourglass,19,N
Sleep,19,Y
Stay,19,Y
Stay With Me Awhile,20,N
There In The Silence,20,N
Commissar,20,N
I Seek Power,20,N
Drive,20,N
Morphine Child,20,N
The Rumor,20,N
Man In The Mirror,20,N
Surrender,20,N
Awaken,20,N
Back To A Reason,20,N
Jesus Saves --- Live,20,Y
Iced Earth,21,N
Written On The Walls,21,N
Colors,21,N
Curse The Sky,21,N
Life And Death,21,N
Solitude,21,N
Funeral,21,N
When The Night Falls,21,N
Angels Holocaust,22,N
Stormrider,22,N
The Path I Choose,22,N
Before The Vision,22,N
Mystical End,22,N
Desert Rain,22,N
Pure Evil,22,N
Reaching The End,22,N
Travel In Stygian,22,N
Burnt Offerings,23,N
Last December,23,N
Diary,23,N
Brainwashed,23,N
Burning Oasis,23,N
Creator Failure,23,N
The Pierced Spirit,23,N
Dante's Inferno,23,N
Dark Saga,24,N
Died For You,24,N
Violate,24,N
The Hunter,24,N
The Last Laugh,24,N
Depths Of Hell,24,N
Vengeance Is Mine,24,N
Scarred,24,N
Slave To The Dark,24,N
A Question Of Heaven,24,N
Burning Times,25,N
Melancholy (Holy Martyr),25,N
Disciples Of The Lie,25,N
Watching Over Me,25,N
Stand Alone,25,N
Consequences,25,N
My Own Savior,25,N
Reaping Stone,25,N
1776 (Instrumental),25,N
Blessed Are You,25,N
Prophecy,25,N
Birth Of The Wicked,25,N
The Coming Curse,25,N
Wolf,26,N
Damien,26,N
Jack,26,N
Ghost Of Freedom,26,N
Im-Ho-Tep (Pharaoh's Curse),26,N
Jekyll & Hyde,26,N
Dragon's Child,26,N
Transylvania,26,Y
Frankensstein,26,N
Dracula,26,N
The Phantom Opera Ghost,26,N
Rebellion,27,N
After The Sepulture --- Remix,27,N
Static Journey,27,N
Into The Pentagram --- Remix,27,N
Rain,28,N
Shining Kingdom,28,N
Angel's Decay,28,N
My Saviour,28,N
Jupiterian Vibe,28,N
The Ones Who Came Before,28,N
Liquid Soul Dimension,28,N
Moonskin,28,N
Born Under Saturn,28,N
Chosen Race,28,N
A Man In Your Head,28,N
Exodus,29,N
Tribes Of Cain,29,N
Son Of Earth,29,N
Winter Solstice,29,N
Ceremony Of Opposites --- Remix,29,N
From Malkuth To Kether,29,N
Year Zero,30,N
Ailleurs,30,N
Together,30,N
Ways,30,N
The Cross,30,N
Us,30,N
Supra Karma,30,N
I,30,N
Nautilus & Zeppelin,30,N
Infra Galaxia,30,N
Being,30,N
Radiant Star,30,N
Battle Angels,31,N
Termination Force,31,N
Die For My Sins,31,N
Soldiers Of Steel,31,N
Sanctuary,31,N
White Rabbit,31,N
Ascension To Destiny,31,N
The Third War,31,N
Veil Of Disguise,31,N
Future Tense,32,N
Taste Revenge,32,N
Long Since Dark,32,N
Epitaph,32,N
Eden Lies Obscured,32,N
The Mirror Black,32,N
Seasons Of Destruction,32,N
One More Murder,32,N
Communion,32,N
What Tomorrow Knows,33,N
C.B.F.,33,N
The Sanity Assassin,33,N
Garden Of Gray,33,N
Sea Of Possibilities,33,N
The Hunting Words,33,N
Timothy Leary,33,N
Godmoney,33,N
Optimist Or Pessimist,34,N
Matricide,34,N
In Memory,34,N
Silent Hedges / Double Dare,34,N
The Sorrowed Man,34,N
The Seven Tongues Of God,35,N
This Sacrament,35,N
Next In Line,35,N
Passanger,35,N
The Politics Of Ecstasy,35,N
Lost,35,N
The Tiananmen Man,35,N
Precognition (Instrumental),35,N
42147,35,N
The Learning,35,N
Ophidian,36,N
Beyond Within,36,N
The Death Of Passion,36,N
I Am The Dog,36,N
Dreaming Neon Black,36,N
Deconstruction,36,N
The Fault Of The Flesh,36,N
The Lotus Eateres,36,N
Poison Godmachine,36,N
All Play Dead,36,N
Cenotaph,36,N
No More Will,36,N
Forever,36,N
Narcosynthesis,37,N
We Disintegrate,37,N
Inside Four Walls,37,N
Evolution 169,37,N
The River Dragon Has Come,37,N
The Heart Collector,37,N
Engines Of Hate,37,N
The Sound Of Silence,37,N
Insignificant,37,N
Believe In Nothing,37,N
Dead Heart In A Dead World,37,N
Next In Line --- Live,37,Y
Starlight,38,N
Murderer,38,N
Warrior,38,N
Victim Of Fate,38,N
Cry For Freedom,38,N
Walls Of Jericho,39,N
Ride The Sky,39,N
Reptile,39,N
Guardians,39,N
Phantoms Of Death,39,N
Metal Invaders,39,N
Gorgar,39,N
Heavy Metal (Is The Law),39,N
How Many Tears,39,N
Judas,39,Y
Initiation,40,N
I'm Alive,40,N
A Little Time,40,N
Twilight Of The Gods,40,N
Tiny Dancer,193,N
Honky Cat,193,N
Rocket Man (I Think It's Going to Be a Long Long Time),193,N
Crocodile Rock,193,N
Daniel,193,N
Saturday Night's Alright (For Fighting),193,N
Goodbye Yellow Brick Road,193,N
Candle in the Wind,193,N
Bennie And The Jets (Live),193,N
Don't Let the Sun Go Down on Me,193,N
The Bitch Is Back,193,N
Philadelphia Freedom,193,N
Someone Saved My Life Tonight,193,N
Island Girl,193,N
Don't Go Breaking My Heart,193,N
Sorry Seems to Be the Hardest Word,193,N
Blue Eyes,193,N
I'm Still Standing,193,N
I Guess That's Why They Call It the Blues,193,N
Sad Songs (Say So Much) (Single Edit),193,N
Nikita,193,N
Sacrifice,193,N
The One,193,N
Kiss The Bride,193,N
Can You Feel the Love Tonight,193,N
Circle of Life,193,N
Believe (Radio Edit),193,N
Made In England (Radio Edit),193,N
Something About The Way You Look Tonight (Edit Version),193,N
Written In The Stars,193,N
I Want Love,193,N
This Train Don't Stop There Anymore,193,N
Song For Guy,193,N
The Bitch Is Back,194,N
Pinky,194,N
Grimsby,194,N
Dixie Lily,194,N
Solar Prestige A Gammon,194,N
Your So Static,194,N
I've Seen The Saucers,194,N
Stinker,194,N
Don't Let the Sun Go Down on Me,194,N
Ticking,194,N
Pinball Wizard,194,N
Sick City,194,N
Cold Highway,194,N
Step Into Christmas,194,N
Tiny Dancer,195,N
Levon,195,N
Razor Face,195,N
Madman Across The Water,195,N
Indian Sunset,195,N
Holiday Inn,195,N
Rotten Peaches,195,N
All The Nasties,195,N
Goodbye,195,N
Your Song,196,N
Daniel,196,N
Honky Cat,196,N
Goodbye Yellow Brick Road,196,N
Saturday Night's Alright For Fighting,196,N
Rocket Man (I Think It's Going to Be a Long Long Time),196,N
Bennie and the Jets,196,N
Candle in the Wind,196,N
Don't Let the Sun Go Down on Me,196,N
Border Song,196,N
Crocodile Rock,196,N
Honky Cat,197,N
Mellow,197,N
I Think I'm Going To Kill Myself,197,N
Susie (Dramas),197,N
Rocket Man (I Think It's Going to Be a Long Long Time),197,N
Salvation,197,N
Slave,197,N
Amy,197,N
Mona Lisas And Mad Hatters,197,N
Hercules,197,N
"Slave (Alternate ""Fast"" Version)",197,N
Can You Feel the Love Tonight,198,N
The One,199,N
Sacrifice,199,N
Daniel,199,N
Someone Saved My Life Tonight,199,N
Your Song,199,N
Believe,199,N
Blue Eyes,199,N
Sorry Seems to Be the Hardest Word,199,N
Blessed (Radio Edit),199,N
Candle In The Wind (Live),199,N
You Can Make History (Young Again),199,N
No Valentines,199,N
Circle of Life,199,N
Goodbye Yellow Brick Road,200,N
Bennie And The Jets (Live),200,N
Daniel,200,N
Crocodile Rock,200,N
Lucy In The Sky With Diamonds (Edit),200,N
Philadelphia Freedom,200,N
Island Girl,200,N
Don't Go Breaking My Heart,200,N
Sorry Seems to Be the Hardest Word,200,N
Sacrifice,200,N
Don't Let The Sun Go Down On Me,200,N
Can You Feel the Love Tonight,200,N
Your Song,200,N
Tiny Dancer,200,N
Rocket Man (I Think It's Going to Be a Long Long Time),200,N
Candle in the Wind,200,N
Saturday Night's Alright For Fighting,200,N
The Bitch Is Back,201,N
Lucy In The Sky With Diamonds,201,N
Tiny Dancer,201,N
I Feel Like A Bullet (In The Gun Of Robert Ford),201,N
Someone Saved My Life Tonight,201,N
Philadelphia Freedom,201,N
Island Girl,201,N
Grow Some Funk Of Your Own,201,N
Levon,201,N
Pinball Wizard,201,N
Your Song,202,N
Levon,202,N
Tiny Dancer,202,N
Rocket Man (I Think It's Going to Be a Long Long Time),202,N
Honky Cat,202,N
Crocodile Rock,202,N
"Daniel (Live (1974/ Madison Square Garden, NY))",202,N
Saturday Night's Alright (For Fighting),202,N
Goodbye Yellow Brick Road,202,N
Candle in the Wind,202,N
Bennie and the Jets,202,N
Don't Let the Sun Go Down on Me,202,N
The Bitch Is Back,202,N
Philadelphia Freedom,202,N
Someone Saved My Life Tonight,202,N
Island Girl,202,N
Sorry Seems to Be the Hardest Word,202,N
Ballad Of A Well-Known Gun,203,N
Come Down In Time,203,N
Country Comfort,203,N
Son Of Your Father,203,N
My Father's Gun,203,N
Where To Now St. Peter?,203,N
Love Song,203,N
Amoreena,203,N
Talking Old Soldiers,203,N
Burn Down The Mission,203,N
Into The Old Man's Shoes,203,N
Madman Across The Water,203,N
Daniel,204,N
Teacher I Need You,204,N
Elderberry Wine,204,N
Blues For My Baby And Me,204,N
Midnight Creeper,204,N
Have Mercy On The Criminal,204,N
I'm Going To Be A Teenage Idol,204,N
Texan Love Song,204,N
Crocodile Rock,204,N
High Flying Bird,204,N
Screw You (Young Man's Blues),204,N
Jack Rabbit,204,N
Whenever You're Ready (We'll Go Steady Again),204,N
Skyline Pigeon (Piano Version),204,N
Captain Fantastic And The Brown Dirt Cowboy,205,N
Tower Of Babel,205,N
Bitter Fingers,205,N
Tell Me When The Whistle Blows,205,N
Someone Saved My Life Tonight,205,N
(Gotta Get A) Meal Ticket,205,N
Better Off Dead,205,N
Writing,205,N
We All Fall In Love Sometimes,205,N
Curtains,205,N
Lucy In The Sky With Diamonds,205,N
One Day At A Time,205,N
Philadelphia Freedom,205,N
I've Been Loving You,206,N
Here's To The Next Time,206,N
Lady Samantha,206,N
All Across The Havens,206,N
It's Me That You Need,206,N
Just Like Strange Rain,206,N
Bad Side Of The Moon,206,N
Rock And Roll Madonna,206,N
Grey Seal (Version 1970),206,N
Friends (Original Soundtrack Recording),206,N
Michelle's Song (Original Soundtrack Recording),206,N
Seasons (Original Soundtrack Recording),206,N
Variation On Michelle's Song (A Day In The Country) (Original Soundtrack Recording),206,N
Can I Put You On (Original Soundtrack Recording),206,N
Honey Roll (Original Soundtrack Recording),206,N
Variation On Friends (Original Soundtrack Recording),206,N
I Meant To Do My Work Today (A Day In The Country) (Original Soundtrack Recording),206,N
Four Moods (Original Soundtrack Recording),206,N
Seasons Reprise (Original Soundtrack Recording),206,N
Madman Across The Water,206,N
Into The Old Man's Shoes,206,N
Rock Me When He's Gone,206,N
"Slave (Alternate ""Fast"" Version)",206,N
Skyline Pigeon (Piano Version),206,N
Jack Rabbit,206,N
Whenever You're Ready (We'll Go Steady Again),206,N
Let Me Be Your Car (Demo Version),206,N
Screw You (Young Man's Blues),206,N
Step Into Christmas,206,N
Ho! Ho! Ho! (Who'd Be A Turkey At Christmas),206,N
Sick City,206,N
Cold Highway,206,N
One Day At A Time,206,N
"I Saw Her Standing There (Live (1974/ Madison Square Garden, NY))",206,N
House Of Cards,206,N
Planes,206,N
Sugar On The Floor,206,N
Come Back Baby,207,N
Lady Samantha,207,N
It's Me That You Need,207,N
Rock And Roll Madonna,207,N
Bad Side Of The Moon,207,N
Your Song,207,N
Take Me To The Pilot,207,N
Border Song,207,N
Sixty Years On,207,N
Country Comfort,207,N
Grey Seal,207,N
Friends,207,N
Levon,207,N
Tiny Dancer,207,N
Madman Across The Water,207,N
Honky Cat,207,N
Mona Lisas And Mad Hatters,207,N
Rocket Man (I Think It's Going to Be a Long Long Time),207,N
Daniel,207,N
Crocodile Rock,207,N
Bennie and the Jets,207,N
Goodbye Yellow Brick Road,207,N
All The Girls Love Alice,207,N
Funeral For A Friend / Love Lies Bleeding,207,N
Whenever You're Ready (We'll Go Steady Again),207,N
Saturday Night's Alright For Fighting,207,N
Jack Rabbit,207,N
Harmony,207,N
Young Man's Blues,207,N
Step Into Christmas,207,N
The Bitch Is Back,207,N
Pinball Wizard,207,N
Someone Saved My Life Tonight,207,N
Philadelphia Freedom,207,N
One Day At A Time,207,N
Lucy In The Sky With Diamonds,207,N
I Saw Her Standing There,207,N
Island Girl,207,N
Sorry Seems to Be the Hardest Word,207,N
Don't Go Breaking My Heart,207,N
I Feel Like A Bullet (In The Gun Of Robert Ford),207,N
Ego,207,N
Song For Guy,207,N
Mama Can't Buy You Love,207,N
Cartier,207,N
Little Jeannie,207,N
Donner Pour Donner,207,N
Fanfare/Chloe,207,N
The Retreat,207,N
Blue Eyes (1996 LP),207,N
"Empty Garden (Hey, Hey Johnny)",207,N
I Guess That's Why They Call It the Blues,207,N
I'm Still Standing,207,N
Sad Songs (Say So Much) (Single Edit),207,N
Act Of War,207,N
Nikita,207,N
Candle in the Wind,207,N
Carla Etude,207,N
Don't Let the Sun Go Down on Me,207,N
I Don't Wanna Go On With You Like That,207,N
Give Peace A Chance,207,N
Sacrifice,207,N
Made For Me,207,N
You Gotta Love Someone,207,N
I Swear I Heard The Night Talkin',207,N
Easier To Walk Away,207,N
Cold As Christmas (In The Middle Of The Year),208,N
I'm Still Standing,208,N
Too Low For Zero,208,N
Religion,208,N
I Guess That's Why They Call It the Blues,208,N
Crystal,208,N
Kiss The Bride,208,N
Whipping Boy,208,N
Saint,208,N
One More Arrow,208,N
Earn While You Learn,208,N
Dreamboat,208,N
The Retreat,208,N
The Emperor's New Clothes,209,N
Dark Diamond,209,N
"Look Ma, No Hands",209,N
American Triangle,209,N
Original Sin,209,N
Birds,209,N
I Want Love,209,N
The Wasteland,209,N
Ballad Of The Boy In The Red Shoes,209,N
Love Her Like Me,209,N
Mansfield,209,N
This Train Don't Stop There Anymore,209,N
Your Song,209,N
Can You Feel the Love Tonight,210,N
A Whole New World (Aladdin's Theme),210,N
